Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability
1,15,6.0,9.0,Accept,3.3,0.96
2,15,3.75,11.25,Reject,-3.0,0.05
4,15,1.5,13.5,Reject,-9.3,0.0
6,12,3.0,9.0,Accept,-2.4,0.08
7,9,2.7,6.3,Accept,-0.54,0.37
8,9,3.6,5.4,Accept,1.98,0.88
9,9,2.25,6.75,Reject,-1.8,0.14
11,15,1.5,13.5,Reject,-9.3,0.0
13,9,2.7,6.3,Accept,-0.54,0.37
14,15,3.0,12.0,Reject,-5.1,0.01
15,6,1.8,4.2,Accept,-0.36,0.41
16,18,5.4,12.6,Reject,-1.08,0.25
18,6,1.2,4.8,Reject,-2.04,0.12
19,15,6.0,9.0,Accept,3.3,0.96
20,9,2.7,6.3,Accept,-0.54,0.37
21,15,5.25,9.75,Reject,1.2,0.77
22,15,5.25,9.75,Accept,1.2,0.77
23,12,1.2,10.8,Reject,-7.44,0.0
26,9,4.5,4.5,Accept,4.5,0.99
28,18,4.5,13.5,Reject,-3.6,0.03
30,15,3.75,11.25,Reject,-3.0,0.05
31,12,4.2,7.8,Accept,0.96,0.72
32,9,3.6,5.4,Accept,1.98,0.88
34,9,2.7,6.3,Reject,-0.54,0.37
35,15,3.0,12.0,Reject,-5.1,0.01
36,15,5.25,9.75,Accept,1.2,0.77
39,12,2.4,9.6,Reject,-4.08,0.02
40,15,5.25,9.75,Reject,1.2,0.77
41,18,9.0,9.0,Accept,9.0,1.0
43,9,4.5,4.5,Accept,4.5,0.99
44,12,4.2,7.8,Reject,0.96,0.72
45,6,2.4,3.6,Accept,1.32,0.79
46,9,2.25,6.75,Reject,-1.8,0.14
48,9,1.8,7.2,Reject,-3.06,0.04
50,9,1.8,7.2,Reject,-3.06,0.04
51,12,4.8,7.2,Accept,2.64,0.93
