Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion,Variance
1,15,6.0,9.0,Reject,-1.5,0.18,0.5,0.0372
2,15,3.75,11.25,Reject,-14.17,0.0,0.49,0.0384
4,15,1.5,13.5,Reject,-25.88,0.0,0.47,0.0447
6,12,3.0,9.0,Reject,-7.91,0.0,0.43,0.0437
7,9,2.7,6.3,Reject,-2.55,0.07,0.42,0.0416
8,9,3.6,5.4,Accept,3.25,0.96,0.41,0.039
9,9,2.25,6.75,Reject,-4.82,0.01,0.41,0.0381
11,15,1.5,13.5,Reject,-20.75,0.0,0.4,0.0405
13,9,2.7,6.3,Accept,-0.82,0.31,0.38,0.0387
14,15,3.0,12.0,Reject,-10.01,0.0,0.37,0.0382
15,6,1.8,4.2,Reject,-0.12,0.47,0.36,0.0366
16,18,5.4,12.6,Reject,-0.05,0.49,0.36,0.0351
18,6,1.2,4.8,Reject,-3.52,0.03,0.36,0.0346
19,15,6.0,9.0,Accept,5.81,1.0,0.35,0.0332
20,9,2.7,6.3,Accept,0.35,0.59,0.35,0.032
21,15,5.25,9.75,Accept,5.25,0.99,0.35,0.0308
22,15,5.25,9.75,Accept,5.25,0.99,0.35,0.0296
23,12,1.2,10.8,Reject,-13.8,0.0,0.35,0.0307
26,9,4.5,4.5,Accept,4.14,0.98,0.34,0.0305
28,18,4.5,13.5,Reject,-4.17,0.02,0.35,0.0298
30,15,3.75,11.25,Reject,-3.21,0.04,0.34,0.0291
31,12,4.2,7.8,Accept,4.17,0.98,0.34,0.0282
32,9,3.6,5.4,Accept,3.46,0.97,0.34,0.0274
34,9,2.7,6.3,Reject,0.81,0.69,0.34,0.0267
35,15,3.0,12.0,Reject,-7.55,0.0,0.34,0.0265
36,15,5.25,9.75,Accept,5.2,0.99,0.34,0.0257
39,12,2.4,9.6,Reject,-5.81,0.0,0.34,0.0255
40,15,5.25,9.75,Accept,5.19,0.99,0.33,0.0249
41,18,9.0,9.0,Accept,8.25,1.0,0.33,0.0249
43,9,4.5,4.5,Accept,4.14,0.98,0.34,0.0249
44,12,4.2,7.8,Accept,4.18,0.98,0.34,0.0243
45,6,2.4,3.6,Accept,2.31,0.91,0.34,0.0238
46,9,2.25,6.75,Reject,-1.97,0.12,0.34,0.0235
48,9,1.8,7.2,Reject,-4.57,0.01,0.34,0.0234
50,9,1.8,7.2,Reject,-4.41,0.01,0.34,0.0233
51,12,4.8,7.2,Accept,4.6,0.99,0.33,0.0229
