Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Valence,Arousal,Emotional Component
1,15,6.0,9.0,Accept,4.0,0.98,-1,2,-2
2,15,3.75,11.25,Accept,1.75,0.85,-1,2,-2
4,15,1.5,13.5,Reject,-0.5,0.38,-1,2,-2
6,12,3.0,9.0,Accept,1.0,0.73,-1,2,-2
7,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
8,9,3.6,5.4,Accept,1.6,0.83,-1,2,-2
9,9,2.25,6.75,Reject,0.25,0.56,-1,2,-2
11,15,1.5,13.5,Reject,-0.5,0.38,-1,2,-2
13,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
14,15,3.0,12.0,Reject,1.0,0.73,-1,2,-2
15,6,1.8,4.2,Accept,-0.2,0.45,-1,2,-2
16,18,5.4,12.6,Accept,3.4,0.97,-1,2,-2
18,6,1.2,4.8,Reject,-0.8,0.31,-1,2,-2
19,15,6.0,9.0,Accept,4.0,0.98,-1,2,-2
20,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
21,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
22,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
23,12,1.2,10.8,Accept,-0.8,0.31,-1,2,-2
26,9,4.5,4.5,Accept,4.5,0.99,0,0,0
28,18,4.5,13.5,Accept,2.5,0.92,-1,2,-2
30,15,3.75,11.25,Accept,1.75,0.85,-1,2,-2
31,12,4.2,7.8,Accept,2.2,0.9,-1,2,-2
32,9,3.6,5.4,Accept,1.6,0.83,-1,2,-2
34,9,2.7,6.3,Accept,0.7,0.67,-1,2,-2
35,15,3.0,12.0,Accept,1.0,0.73,-1,2,-2
36,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
39,12,2.4,9.6,Accept,0.4,0.6,-1,2,-2
40,15,5.25,9.75,Accept,3.25,0.96,-1,2,-2
41,18,9.0,9.0,Accept,9.0,1.0,0,0,0
43,9,4.5,4.5,Accept,4.5,0.99,0,0,0
44,12,4.2,7.8,Accept,2.2,0.9,-1,2,-2
45,6,2.4,3.6,Reject,0.4,0.6,-1,2,-2
46,9,2.25,6.75,Reject,0.25,0.56,-1,2,-2
48,9,1.8,7.2,Accept,-0.2,0.45,-1,2,-2
50,9,1.8,7.2,Reject,-0.2,0.45,-1,2,-2
51,12,4.8,7.2,Accept,2.8,0.94,-1,2,-2
