Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion,Variance,Valence,Arousal,Emotional Component
1,15,6.0,9.0,Reject,2.0,0.88,0.5,0.0372,-1,4,-4
2,15,3.75,11.25,Reject,-0.25,0.44,0.49,0.0384,-1,4,-4
4,15,1.5,13.5,Reject,-2.5,0.08,0.47,0.0447,-1,4,-4
6,12,3.0,9.0,Reject,-1.0,0.27,0.43,0.0437,-1,4,-4
7,9,2.7,6.3,Reject,-1.3,0.21,0.42,0.0416,-1,4,-4
8,9,3.6,5.4,Accept,-0.4,0.4,0.41,0.039,-1,4,-4
9,9,2.25,6.75,Accept,-1.75,0.15,0.41,0.0381,-1,4,-4
11,15,1.5,13.5,Reject,-2.5,0.08,0.4,0.0405,-1,4,-4
13,9,2.7,6.3,Reject,-1.3,0.21,0.38,0.0387,-1,4,-4
14,15,3.0,12.0,Reject,-1.0,0.27,0.37,0.0382,-1,4,-4
15,6,1.8,4.2,Reject,-2.2,0.1,0.36,0.0366,-1,4,-4
16,18,5.4,12.6,Accept,1.4,0.8,0.36,0.0351,-1,4,-4
18,6,1.2,4.8,Reject,-2.8,0.06,0.36,0.0346,-1,4,-4
19,15,6.0,9.0,Accept,10.0,1.0,0.35,0.0332,1,4,4
20,9,2.7,6.3,Accept,-1.3,0.21,0.35,0.032,-1,4,-4
21,15,5.25,9.75,Accept,5.25,0.99,0.35,0.0308,0,0,0
22,15,5.25,9.75,Accept,5.25,0.99,0.35,0.0296,0,0,0
23,12,1.2,10.8,Reject,-2.8,0.06,0.35,0.0307,-1,4,-4
26,9,4.5,4.5,Accept,8.5,1.0,0.34,0.0305,1,4,4
28,18,4.5,13.5,Reject,0.5,0.62,0.35,0.0298,-1,4,-4
30,15,3.75,11.25,Accept,-0.25,0.44,0.34,0.0291,-1,4,-4
31,12,4.2,7.8,Accept,8.2,1.0,0.34,0.0282,1,4,4
32,9,3.6,5.4,Accept,7.6,1.0,0.34,0.0274,1,4,4
34,9,2.7,6.3,Reject,-1.3,0.21,0.34,0.0267,-1,4,-4
35,15,3.0,12.0,Reject,-1.0,0.27,0.34,0.0265,-1,4,-4
36,15,5.25,9.75,Accept,9.25,1.0,0.34,0.0257,1,4,4
39,12,2.4,9.6,Reject,-1.6,0.17,0.34,0.0255,-1,4,-4
40,15,5.25,9.75,Accept,9.25,1.0,0.33,0.0249,1,4,4
41,18,9.0,9.0,Accept,13.0,1.0,0.33,0.0249,1,4,4
43,9,4.5,4.5,Accept,8.5,1.0,0.34,0.0249,1,4,4
44,12,4.2,7.8,Accept,8.2,1.0,0.34,0.0243,1,4,4
45,6,2.4,3.6,Accept,6.4,1.0,0.34,0.0238,1,4,4
46,9,2.25,6.75,Reject,-1.75,0.15,0.34,0.0235,-1,4,-4
48,9,1.8,7.2,Accept,-2.2,0.1,0.34,0.0234,-1,4,-4
50,9,1.8,7.2,Reject,-2.2,0.1,0.34,0.0233,-1,4,-4
51,12,4.8,7.2,Accept,8.8,1.0,0.33,0.0229,1,4,4
