participant_id,alpha,temperature,success,log_likelihood
1001,10.0,10.0,True,-17.50471867954262
1002,1.5,10.0,True,-36.00127278236416
1003,1.0,10.0,True,-36.72421388871871
1004,2.0,10.0,True,-34.343511044725894
1005,1.5,10.0,True,-36.42127278224758
1006,1.0,10.0,True,-36.25921388880887
1007,0.0,8.436842105263159,True,-33.82547845550117
1008,0.5,10.0,True,-36.52489853063828
1009,0.0,8.436842105263159,True,-33.82547845550117
1010,2.5,10.0,True,-33.649204842293344
1011,2.0,10.0,True,-34.343511044799
1012,9.0,10.0,True,-21.435598572774754
1013,2.5,10.0,True,-33.43920484238393
1015,0.0,8.436842105263159,True,-33.825478455501155
1016,0.0,8.436842105263159,True,-33.82547845550117
1017,0.0,8.436842105263159,True,-33.82547845550116
1018,0.0,8.436842105263159,True,-33.82547845550116
1019,0.0,10.0,True,-34.57127025188368
1020,0.0,10.0,True,-34.67627025186108
1021,0.0,8.436842105263159,True,-33.82547845550117
1022,1.0,10.0,True,-36.90421388867733
1023,0.0,10.0,True,-34.916270251812506
1024,3.0,10.0,True,-31.84870825157616
1025,1.5,10.0,True,-36.12127278231583
1026,1.5,10.0,True,-37.05127278211832
1027,1.0,10.0,True,-37.039213888646614
1028,1.5,10.0,True,-34.711272782651854
1029,4.0,10.0,True,-29.55951676374507
1030,0.0,10.0,True,-34.81127025183409
1031,0.0,10.0,True,-36.16127025155517
1032,0.0,8.436842105263159,True,-33.82547845550116
1033,10.0,10.0,True,-17.50471867954262
1034,2.5,10.0,True,-33.61920484225225
1035,3.0,10.0,True,-32.53870825151228
1036,0.0,8.436842105263159,True,-33.825478455501155
1037,0.5,10.0,True,-36.194898530704506
1038,0.5,10.0,True,-36.28489853068649
1039,1.5,10.0,True,-36.51127278222672
1040,0.5,10.0,True,-37.334898530472366
1041,0.0,10.0,True,-34.63127025186885
1042,1.0,10.0,True,-36.91921388867733
1043,4.5,10.0,True,-29.470272241230763
1044,0.0,10.0,True,-34.39127025191489
2001,1.5,10.0,True,-35.461272782479355
2002,1.0,10.0,True,-36.42421388877296
2003,0.0,10.0,True,-36.14627025156239
2004,2.0,10.0,True,-34.71851104476704
2005,2.0,10.0,True,-34.86851104459965
2006,2.0,10.0,True,-35.543511044527264
2007,0.5,10.0,True,-38.29489853027572
2008,0.0,10.0,True,-36.761270251436834
2009,8.5,10.0,True,-22.240885098414758
2010,1.5,10.0,True,-35.97127278236129
2011,0.5,10.0,True,-37.48489853044326
2012,1.5,10.0,True,-38.70127278161695
2013,3.0,10.0,True,-32.013708251627556
2014,4.0,10.0,True,-29.154516763883635
2015,0.0,10.0,True,-35.21627025174718
2016,10.0,10.0,True,-19.424718678875188
2017,0.0,10.0,True,-35.4262702517068
2018,0.5,10.0,True,-37.27489853048582
2019,1.5,10.0,True,-35.73127278241529
2020,10.0,10.0,True,-17.504718679542624
2021,1.5,10.0,True,-35.821272782255676
2022,5.5,10.0,True,-25.89702939934604
2023,1.5,10.0,True,-35.491272782455745
2024,0.0,10.0,True,-34.54127025188874
2025,0.0,10.0,True,-35.141270251763814
2026,1.0,10.0,True,-36.0192138888602
2027,0.0,10.0,True,-34.87127025181623
2028,9.0,10.0,True,-21.72059857494557
2029,9.5,10.0,True,-20.843532117147216
2030,1.5,10.0,True,-35.97127278222785
2031,0.0,10.0,True,-35.66627025166022
2032,1.0,10.0,True,-37.72921388847618
2033,0.5,10.0,True,-36.31489853068041
2034,0.0,10.0,True,-34.40627025191525
2035,10.0,10.0,True,-21.884718676113593
2036,0.0,10.0,True,-37.856270251210354
2037,10.0,10.0,True,-17.504718679542627
2038,1.0,10.0,True,-37.65421388852218
2039,0.0,10.0,True,-34.90127025181177
2040,8.5,10.0,True,-22.690885098321683
2041,1.5,10.0,True,-34.74127278263111
2042,0.0,10.0,True,-38.71127025102523
2043,10.0,10.0,True,-18.94471867914425
2044,0.0,10.0,True,-37.07627025136924
2045,3.5,10.0,True,-32.37601529788741
2046,0.0,10.0,True,-34.271270251943456
2047,1.5,10.0,True,-34.62127278264493
2048,0.0,10.0,True,-37.226270251337716
