Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1001,1,12,1.2,10.8,Reject,-3.12,0.04,0.5
1001,2,15,5.25,9.75,Accept,4.84,0.99,0.38
1001,3,12,3.0,9.0,Accept,1.69,0.84,0.37
1001,8,9,4.5,4.5,Accept,4.13,0.98,0.33
1001,9,9,2.25,6.75,Reject,1.16,0.76,0.38
1001,12,15,6.0,9.0,Accept,5.79,1.0,0.34
1001,13,18,9.0,9.0,Accept,8.37,1.0,0.36
1001,15,9,2.25,6.75,Reject,1.01,0.73,0.4
1001,17,12,2.4,9.6,Accept,0.71,0.67,0.36
1001,18,18,5.4,12.6,Accept,5.24,0.99,0.31
1001,19,9,2.7,6.3,Accept,2.64,0.93,0.31
1001,20,15,5.25,9.75,Accept,5.08,0.99,0.3
1001,21,15,1.5,13.5,Reject,-1.45,0.19,0.32
1001,24,15,3.0,12.0,Reject,2.29,0.91,0.25
1001,25,9,2.7,6.3,Accept,2.56,0.93,0.24
1001,26,15,5.25,9.75,Accept,4.9,0.99,0.26
1001,27,6,2.4,3.6,Accept,2.23,0.9,0.28
1001,28,9,3.6,5.4,Reject,3.42,0.97,0.32
1001,29,9,1.8,7.2,Accept,0.64,0.65,0.34
1001,30,9,2.7,6.3,Accept,2.7,0.94,0.3
1001,31,9,4.5,4.5,Accept,4.05,0.98,0.3
1001,33,15,3.75,11.25,Accept,2.26,0.91,0.36
1001,34,9,3.6,5.4,Accept,3.44,0.97,0.33
1001,35,6,1.2,4.8,Accept,0.4,0.6,0.35
1001,36,12,4.2,7.8,Accept,4.06,0.98,0.3
1001,37,12,4.2,7.8,Accept,4.1,0.98,0.32
1001,38,15,6.0,9.0,Accept,5.73,1.0,0.33
1001,39,6,1.8,4.2,Accept,1.53,0.82,0.35
1001,41,18,4.5,13.5,Reject,3.13,0.96,0.33
1001,45,9,2.7,6.3,Accept,2.63,0.93,0.31
1001,46,15,1.5,13.5,Reject,-1.29,0.22,0.31
1001,47,15,5.25,9.75,Accept,4.85,0.99,0.24
1001,48,15,3.75,11.25,Accept,3.4,0.97,0.28
1001,49,15,3.0,12.0,Reject,2.08,0.89,0.27
1001,50,12,4.8,7.2,Accept,4.34,0.99,0.25
1001,51,9,1.8,7.2,Accept,1.04,0.74,0.29
1002,1,15,6.0,9.0,Accept,4.65,0.99,0.5
1002,2,15,3.75,11.25,Accept,0.78,0.69,0.47
1002,4,15,1.5,13.5,Reject,-2.6,0.07,0.4
1002,6,12,3.0,9.0,Accept,2.32,0.91,0.31
1002,7,9,2.7,6.3,Accept,2.69,0.94,0.29
1002,8,9,3.6,5.4,Accept,3.37,0.97,0.3
1002,9,9,2.25,6.75,Accept,1.63,0.84,0.33
1002,11,15,1.5,13.5,Reject,-1.25,0.22,0.3
1002,13,9,2.7,6.3,Accept,2.57,0.93,0.24
1002,14,15,3.0,12.0,Accept,2.19,0.9,0.26
1002,15,6,1.8,4.2,Accept,1.71,0.85,0.24
1002,16,18,5.4,12.6,Accept,5.22,0.99,0.26
1002,18,6,1.2,4.8,Accept,0.81,0.69,0.27
1002,19,15,6.0,9.0,Accept,5.44,1.0,0.25
1002,20,9,2.7,6.3,Accept,2.69,0.94,0.3
1002,21,15,5.25,9.75,Accept,5.05,0.99,0.3
1002,22,15,5.25,9.75,Accept,5.11,0.99,0.31
1002,23,12,1.2,10.8,Reject,-1.22,0.23,0.32
1002,26,9,4.5,4.5,Accept,3.95,0.98,0.26
1002,28,18,4.5,13.5,Accept,3.21,0.96,0.33
1002,30,15,3.75,11.25,Accept,3.0,0.95,0.31
1002,31,12,4.2,7.8,Accept,4.02,0.98,0.29
1002,32,9,3.6,5.4,Accept,3.39,0.97,0.31
1002,34,9,2.7,6.3,Accept,2.42,0.92,0.34
1002,35,15,3.0,12.0,Accept,1.32,0.79,0.32
1002,36,15,5.25,9.75,Accept,5.01,0.99,0.29
1002,39,12,2.4,9.6,Accept,1.25,0.78,0.31
1002,40,15,5.25,9.75,Accept,4.97,0.99,0.27
1002,41,18,9.0,9.0,Accept,8.09,1.0,0.3
1002,43,9,4.5,4.5,Accept,4.18,0.98,0.36
1002,44,12,4.2,7.8,Accept,3.65,0.97,0.4
1002,45,6,2.4,3.6,Accept,2.38,0.92,0.39
1002,46,9,2.25,6.75,Accept,1.12,0.75,0.39
1002,48,9,1.8,7.2,Reject,0.6,0.65,0.35
1002,50,9,1.8,7.2,Accept,0.96,0.72,0.3
1002,51,12,4.8,7.2,Accept,4.42,0.99,0.27
1003,1,18,4.5,13.5,Accept,0.45,0.61,0.5
1003,3,15,6.0,9.0,Accept,5.66,1.0,0.42
1003,4,9,4.5,4.5,Accept,4.31,0.99,0.42
1003,5,15,5.25,9.75,Accept,4.0,0.98,0.44
1003,6,6,1.8,4.2,Accept,1.18,0.77,0.41
1003,8,9,4.5,4.5,Accept,4.23,0.99,0.38
1003,9,6,1.2,4.8,Accept,0.03,0.51,0.42
1003,10,9,2.7,6.3,Accept,2.28,0.91,0.35
1003,12,15,5.25,9.75,Accept,5.2,0.99,0.34
1003,13,12,4.8,7.2,Accept,4.62,0.99,0.34
1003,14,15,5.25,9.75,Accept,5.14,0.99,0.36
1003,15,9,2.7,6.3,Accept,2.25,0.9,0.36
1003,16,15,3.0,12.0,Accept,1.12,0.75,0.34
1003,17,9,2.7,6.3,Accept,2.69,0.94,0.3
1003,20,15,3.0,12.0,Accept,1.68,0.84,0.3
1003,23,12,4.2,7.8,Accept,3.96,0.98,0.27
1003,25,18,9.0,9.0,Accept,8.07,1.0,0.29
1003,26,15,3.75,11.25,Reject,2.33,0.91,0.36
1003,28,9,2.25,6.75,Reject,1.65,0.84,0.32
1003,30,15,6.0,9.0,Accept,5.63,1.0,0.3
1003,32,9,3.6,5.4,Accept,3.44,0.97,0.33
1003,35,15,5.25,9.75,Accept,5.23,0.99,0.35
1003,36,9,2.25,6.75,Accept,1.43,0.81,0.35
1003,37,6,2.4,3.6,Accept,2.28,0.91,0.32
1003,38,12,1.2,10.8,Accept,-1.44,0.19,0.34
1003,39,15,3.75,11.25,Accept,3.46,0.97,0.27
1003,40,15,1.5,13.5,Accept,-0.73,0.33,0.26
1003,41,9,3.6,5.4,Accept,3.18,0.96,0.22
1003,43,18,5.4,12.6,Accept,5.27,0.99,0.27
1003,44,9,2.7,6.3,Accept,2.65,0.93,0.28
1003,45,12,4.2,7.8,Accept,4.01,0.98,0.29
1003,47,9,1.8,7.2,Accept,0.95,0.72,0.3
1003,48,15,1.5,13.5,Reject,-0.84,0.3,0.27
1003,49,12,3.0,9.0,Accept,2.91,0.95,0.22
1003,50,12,2.4,9.6,Accept,2.08,0.89,0.23
1003,51,9,1.8,7.2,Reject,1.63,0.84,0.22
1004,1,18,9.0,9.0,Accept,9.0,1.0,0.5
1004,6,9,4.5,4.5,Accept,4.5,0.99,0.5
1004,7,9,2.7,6.3,Accept,1.08,0.75,0.5
1004,9,12,3.0,9.0,Reject,0.95,0.72,0.44
1004,10,15,5.25,9.75,Accept,4.8,0.99,0.38
1004,11,12,4.8,7.2,Accept,4.72,0.99,0.37
1004,12,6,2.4,3.6,Accept,2.37,0.91,0.38
1004,13,15,5.25,9.75,Accept,4.75,0.99,0.39
1004,15,9,2.25,6.75,Accept,1.23,0.77,0.38
1004,16,15,3.0,12.0,Reject,1.14,0.76,0.34
1004,18,12,2.4,9.6,Accept,1.36,0.8,0.3
1004,19,18,4.5,13.5,Accept,4.21,0.99,0.27
1004,21,12,1.2,10.8,Reject,-0.55,0.37,0.26
1004,22,9,2.7,6.3,Accept,2.51,0.92,0.21
1004,23,6,1.8,4.2,Accept,1.71,0.85,0.24
1004,24,15,3.75,11.25,Accept,3.65,0.97,0.26
1004,25,6,1.2,4.8,Accept,0.9,0.71,0.26
1004,26,18,5.4,12.6,Accept,5.12,0.99,0.24
1004,27,15,6.0,9.0,Accept,5.46,1.0,0.26
1004,28,15,3.0,12.0,Accept,1.65,0.84,0.3
1004,30,15,6.0,9.0,Accept,5.51,1.0,0.27
1004,31,9,1.8,7.2,Accept,0.92,0.71,0.31
1004,33,12,4.2,7.8,Accept,3.98,0.98,0.28
1004,35,9,2.25,6.75,Accept,1.86,0.87,0.3
1004,36,15,1.5,13.5,Reject,-0.98,0.27,0.28
1004,37,9,2.7,6.3,Accept,2.54,0.93,0.23
1004,38,9,4.5,4.5,Accept,3.94,0.98,0.25
1004,39,9,3.6,5.4,Accept,3.43,0.97,0.33
1004,42,15,5.25,9.75,Accept,5.24,0.99,0.35
1004,43,12,4.2,7.8,Accept,4.19,0.99,0.35
1004,44,15,1.5,13.5,Reject,-1.86,0.13,0.35
1004,45,9,2.7,6.3,Accept,2.64,0.93,0.27
1004,47,15,5.25,9.75,Accept,4.99,0.99,0.28
1004,49,15,3.75,11.25,Accept,3.04,0.95,0.3
1004,50,9,3.6,5.4,Accept,3.34,0.97,0.29
1004,51,9,1.8,7.2,Accept,0.82,0.69,0.32
1005,2,12,4.8,7.2,Accept,3.72,0.98,0.5
1005,3,9,2.7,6.3,Accept,1.32,0.79,0.47
1005,4,12,4.2,7.8,Accept,3.45,0.97,0.42
1005,5,9,2.7,6.3,Reject,1.9,0.87,0.4
1005,6,9,3.6,5.4,Accept,3.53,0.97,0.37
1005,10,12,3.0,9.0,Accept,1.62,0.83,0.38
1005,11,15,3.0,12.0,Accept,1.11,0.75,0.34
1005,12,15,6.0,9.0,Accept,5.62,1.0,0.3
1005,13,15,5.25,9.75,Accept,5.17,0.99,0.33
1005,15,18,4.5,13.5,Accept,3.12,0.96,0.33
1005,16,9,2.25,6.75,Accept,1.77,0.85,0.31
1005,17,15,3.75,11.25,Accept,3.19,0.96,0.29
1005,18,9,4.5,4.5,Accept,4.0,0.98,0.28
