participant_id,lambda,tau,temperature,success,log_likelihood
1001,20.0,0.001,6.963199018308153,True,-20.81830216341346
1002,5.186359715866193,0.001,10.0,True,-38.04643434485399
1003,3.963146930866953,0.001,10.0,True,-38.02383474649788
1004,8.977984345100406,0.001,10.0,True,-36.51328234619922
1005,7.683435223751156,0.001,10.0,True,-37.766019574306966
1006,0.0,0.001,10.0,True,-37.211270251345354
1007,0.0,0.001,8.649135543246079,True,-33.82456191736337
1008,0.0,0.001,10.0,True,-37.06127025137273
1009,0.0,0.001,8.64921033161556,True,-33.82456191770496
1010,10.319487782427125,0.001,10.0,True,-36.41885108774875
1011,7.683413073926755,0.001,10.0,True,-37.22601957443986
1012,20.0,0.001,7.871896545586061,True,-22.810223500114763
1013,8.977945189062591,0.001,10.0,True,-37.09828234624165
1015,0.0,0.001,8.649198865110582,True,-33.82456191763851
1016,0.0,0.001,8.649186257305953,True,-33.82456191757132
1017,0.0,0.001,8.649217088524669,True,-33.824561917746514
1018,0.0,0.001,8.649187437856712,True,-33.82456191757734
1019,0.0,0.001,10.0,True,-34.57127025188368
1020,0.0,0.001,10.0,True,-34.67627025186108
1021,0.0,0.001,8.64918332193714,True,-33.82456191755657
1022,2.7444731873250743,0.001,10.0,True,-38.4192163631862
1023,0.0,0.001,10.0,True,-34.916270251812506
1024,11.723457851645792,0.001,10.0,True,-35.16728639790096
1025,3.9631637671636795,0.001,10.0,True,-37.85883474652152
1026,5.186364914274899,0.001,10.0,True,-38.646434344739724
1027,1.5212710188065353,0.001,10.0,True,-37.77758080935232
1028,2.7444684271192146,0.001,10.0,True,-37.72921636332656
1029,16.535344009445843,0.001,10.0,True,-32.63645035549319
1030,0.0,0.001,10.0,True,-34.81127025183409
1031,0.0,0.001,10.0,True,-36.16127025155517
1032,0.0,0.001,8.64917812722896,True,-33.82456191753126
1033,20.0,0.001,6.9631980630035475,True,-20.81830216341386
1034,8.977942747085356,0.001,10.0,True,-36.75328234633602
1035,10.31949072598787,0.001,10.0,True,-36.23885108776889
1036,0.0,0.001,8.649199718319716,True,-33.82456191764327
1037,0.0,0.001,10.0,True,-36.59627025147349
1038,0.0,0.001,10.0,True,-36.34127025152446
1039,5.186340789884719,0.001,10.0,True,-38.286434344797655
1040,0.0,0.001,10.0,True,-37.46627025128459
1041,0.0,0.001,10.0,True,-34.63127025186885
1042,0.28456692954991925,0.001,10.0,True,-38.2280276520832
1043,18.460542187854177,0.001,10.0,True,-31.6835208540604
1044,0.0,0.001,10.0,True,-34.39127025191489
2001,2.744468735693026,0.001,10.0,True,-37.80421636331132
2002,0.2845577353872186,0.001,10.0,True,-37.46302765224128
2003,0.0,0.001,10.0,True,-36.14627025156239
2004,3.963185058369245,0.001,10.0,True,-38.08383474649718
2005,10.319509181280603,0.001,10.0,True,-36.133851087635534
2006,8.977971219634131,0.001,10.0,True,-37.59328234599457
2007,3.963189141179637,0.001,10.0,True,-38.27883474646604
2008,0.0,0.001,10.0,True,-36.761270251436834
2009,20.0,0.001,9.028867464446202,True,-24.898281481099676
2010,3.963144506155536,0.001,10.0,True,-37.70883474656455
2011,1.521204972095527,0.001,10.0,True,-37.74758080981315
2012,8.978024464682132,0.001,10.0,True,-37.953282345820355
2013,13.209025749766582,0.001,10.0,True,-34.71643233915659
2014,16.535357488770888,0.001,10.0,True,-32.59145035557433
2015,6.105359973213579e-17,0.001,10.0,True,-35.21627025174718
2016,20.0,0.001,7.900319092577109,True,-22.867286003710323
2017,0.0,0.001,10.0,True,-35.4262702517068
2018,0.2845784249713769,0.001,10.0,True,-37.958027652155444
2019,5.186325966880819,0.001,10.0,True,-38.31643434480564
2020,20.0,0.001,6.963196469598725,True,-20.81830216341521
2021,7.683404883978898,0.001,10.0,True,-37.16601957446692
2022,20.0,0.001,10.0,True,-29.409642640879206
2023,2.744490857347555,0.001,10.0,True,-37.69921636334541
2024,0.0,0.001,10.0,True,-34.54127025188874
2025,0.0,0.001,10.0,True,-35.141270251763814
2026,2.7444769504933593,0.001,10.0,True,-37.32421636340831
2027,0.0,0.001,10.0,True,-34.87127025181623
2028,20.0,0.001,9.205585496378959,True,-25.177987344680684
2029,20.0,0.001,8.97738158796616,True,-24.81497672134515
2030,3.9631382538380793,0.001,10.0,True,-37.93383474652942
2031,0.0,0.001,10.0,True,-35.66627025166022
2032,3.963191074077124,0.001,10.0,True,-38.758834746371036
2033,0.0,0.001,10.0,True,-36.88127025140894
2034,0.0,0.001,10.0,True,-34.40627025191525
2035,20.0,0.001,8.719857267245576,True,-24.385479575999586
2036,0.2845517264979048,0.001,10.0,True,-37.85302765216056
2037,20.0,0.001,6.963199074347289,True,-20.818302163413442
2038,3.963187602274972,0.001,10.0,True,-38.533834746411486
2039,3.793987197317069e-17,0.001,10.0,True,-34.90127025181177
2040,20.0,0.001,9.34255329279191,True,-25.388257934232943
2041,5.18634023544038,0.001,10.0,True,-37.05643434504764
2042,0.0,0.001,10.0,True,-38.71127025102523
2043,20.0,0.001,7.976387302915648,True,-23.018452598717097
2044,0.0,0.001,10.0,True,-37.07627025136924
2045,16.53537525969261,0.001,10.0,True,-33.62645035542761
2046,0.0,0.001,10.0,True,-34.271270251943456
2047,6.423168122044533,0.001,10.0,True,-36.67111149884826
2048,0.0,0.001,10.0,True,-37.226270251337716
